ZIP,NAME,FACILITY_TYPE,latitude,longitude
33056,Myrtle Grove K-8 Center,Public School,25.93443,-80.25223
33196,Felix Varela Senior High,Public School,25.67781,-80.44282
33147,Poinciana Park Elementary,Public School,25.83601,-80.23487
33186,Devon Aire K-8 Center,Public School,25.66904,-80.3915
33178,John I. Smith Elementary PLC-A1,Public School,25.82051,-80.36469
33033,South Dade Skill Center,Public School,25.50385,-80.43736
33162,North Miami Beach Senior High,Public School,25.92969,-80.17532
33143,Florida Diagnostic and Learning Resources System/South,Public School,25.70981,-80.29333
33147,TAP - Teenage Parent Program,Public School,25.83278,-80.24172
33161,North Miami Senior High,Public School,25.89694,-80.1833
33185,Lamar Louise Curry Middle,Public School,25.72024,-80.44895
33176,Miami Killian Senior High,Public School,25.67009,-80.35078
33156,Miami Palmetto Senior High,Public School,25.6608,-80.31571
33147,Liberty City Elementary,Public School,25.8394,-80.22813
33156,Miami Palmetto Adult Education,Public School,25.6608,-80.31571
33193,Doolin/Bowman Foster Ashe Elementary,Public School,25.70432,-80.44172
33162,Greynolds Park Elementary PLC-C,Public School,25.93882,-80.16913
33150,Arcola Lake Elementary,Public School,25.84918,-80.21403
33030,School For Advanced Studies Homestead,Public School,25.47421,-80.47443
33136,Chapman House,Public School,25.78648,-80.20375
33167,Nathaniel Traz Powell Football Stadium,Public School,25.87227,-80.24712
33128,Law Enforcement Officers Memorial Senior High,Public School,25.77727,-80.1982
33156,Howard Drive Elementary,Public School,25.64398,-80.31886
33146,Coral Gables Adult Education,Public School,25.73335,-80.26371
33030,West Homestead K-8 Center,Public School,25.46397,-80.49534
33136,Frederick Douglass Elementary,Public School,25.78532,-80.20082
33013,Hialeah Adult Education Center,Public School,25.86554,-80.27553
33056,Robert Renick Education Center,Public School,25.96501,-80.23892
33056,Miami Carol City Senior High,Public School,25.94091,-80.25738
33196,Jorge Mas Canosa Middle,Public School,25.63325,-80.44797
33012,Henry H. Filer Middle,Public School,25.84848,-80.29334
33146,International Studies Preparatory Academy,Public School,25.70712,-80.28444
33167,Lakeview Elementary,Public School,25.87943,-80.22021
33173,Ruth Owens Kruse Educational Center,Public School,25.69832,-80.3729
33140,North Beach Elementary,Public School,25.81447,-80.13067
33012,Palm Springs Middle,Public School,25.87382,-80.30521
33147,Henry E. S. Reeves K-8 Center Lower Academy,Public School,25.86867,-80.23595
33173,Brucie Ball Educational Center,Public School,25.69832,-80.3729
33015,Joella C. Good Elementary,Public School,25.94422,-80.30313
33147,William H. Turner Technical Adult Education,Public School,25.86809,-80.22919
33130,Southside Preparatory Academy,Public School,25.76188,-80.19444
33181,David Lawrence Jr. K-8 Center,Public School,25.91385,-80.14553
33033,Campbell Drive K-8 Center,Public School,25.48148,-80.44588
33133,Coconut Grove Elementary,Public School,25.72889,-80.24313
33186,Arvida Middle,Public School,25.66654,-80.40116
33196,Oliver Hoover Elementary PLC-U,Public School,25.67673,-80.44975
33165,Tropical Elementary,Public School,25.72534,-80.36307
33157,Cutler Bay Middle,Public School,25.5872,-80.34894
33183,Howard D. Mcmillan Middle,Public School,25.71243,-80.40589
33056,Brentwood Elementary PLC-D1,Public School,25.94839,-80.25273
33055,Lake Stevens Elementary,Public School,25.94017,-80.28517
33012,Twin Lakes Elementary,Public School,25.88315,-80.29464
33134,Coral Gables Preparatory Academy MLC,Public School,25.75694,-80.25603
33178,Eugenia B. Thomas K-8 Center,Public School,25.8277,-80.38264
33166,Transportation Center Northwest,Public School,25.86323,-80.3373
33156,South Region Office Annex,Public School,25.68584,-80.32359
33176,School For Advanced Studies South,Public School,25.67516,-80.37414
33149,Key Biscayne K-8 Center,Public School,25.69081,-80.16677
33189,Dr. Edward L. Whigham Elementary,Public School,25.5648,-80.33103
33030,Medical Academy For Science And Technology,Public School,25.48237,-80.48058
33130,Riverside Elementary,Public School,25.7714,-80.21366
33196,Kendall Square K-8 Center,Public School,25.67845,-80.46642
33144,Stores And Distribution Complex,Public School,25.7688,-80.30861
33014,Miami Lakes Middle,Public School,25.91837,-80.30579
33012,John G. Dupuis Elementary,Public School,25.87605,-80.30615
33133,Silver Bluff Elementary,Public School,25.74345,-80.23552
33172,E.W.F. Stirrup Elementary,Public School,25.77,-80.35392
33196,Hammocks Middle,Public School,25.67424,-80.44275
33030,South Dade Middle,Public School,25.49602,-80.50638
33155,South Miami Senior High,Public School,25.72074,-80.30529
33054,Nathan B. Young Elementary,Public School,25.90396,-80.23995
33157,Johnnie M. Parris Colonial Drive Elementary,Public School,25.62125,-80.36693
33165,Cypress K-8 Center,Public School,25.71691,-80.37637
33167,Maintenance Service Center 1,Public School,25.88839,-80.24461
33015,Palm Springs North Elementary,Public School,25.93463,-80.33397
33175,Ethel Koger Beckham K-8 Center,Public School,25.72182,-80.42589
33010,J.W. Johnson Elementary/James H. Bright Elementary,Public School,25.84289,-80.29701
33157,Coral Reef Senior High,Public School,25.62972,-80.35682
